Mes,Artículos Totales Acumulados,Pesimista (P10),Pesimista (Mediana),Pesimista (P90),Base (P10),Base (Mediana),Base (P90),Optimista (P10),Optimista (Mediana),Optimista (P90)
1,1347,1000,1395,1947,10079,13848,18344,86047,115721,152226
2,1447,2080,3019,4162,27851,38129,50393,176700,237729,311683
3,1547,4942,7156,9951,39402,54086,71487,207021,279373,366315
4,1647,6191,8932,12431,42842,58824,77991,222401,298786,392204
5,1747,6548,9573,13174,45481,62152,82342,236075,318617,415308
6,1847,6961,9988,13866,48207,65820,87078,249326,336842,440911
7,1947,7305,10550,14575,50621,69653,92078,262498,356434,467508
8,2047,7689,11105,15373,53557,73048,96783,277427,373972,491590
9,2147,8054,11650,15941,56279,77078,101900,291249,394120,515373
10,2247,8463,12193,16952,58989,80595,107371,305564,413779,541451
11,2347,8776,12813,17653,61414,84389,111756,318402,431943,565002
12,2447,9176,13335,18438,64735,88519,116376,333562,451012,592285
13,2547,9633,13995,19402,67542,92136,122270,348661,469702,616445
14,2647,10037,14612,20110,70305,96031,127130,361845,486883,640531
15,2747,10497,15233,21053,73292,100070,132460,375619,508174,662139
16,2847,10871,15861,21882,75790,103814,138015,390918,527723,688715
17,2947,11296,16462,22726,78934,107578,142876,405305,544391,713067
18,3047,11767,17090,23601,81338,111621,147222,418332,563894,739246
19,3147,12222,17750,24551,84309,115500,153093,433502,581882,766125
20,3247,12647,18291,25343,87259,119493,158342,448316,602594,791722
21,3347,13034,18917,26102,90010,122834,163073,460289,622408,813663
22,3447,13493,19580,26821,93504,127219,168337,473175,639298,838831
23,3547,13876,20156,28055,95738,130793,173821,486540,661218,864355
24,3647,14460,20851,28833,98565,134906,178622,504740,678236,890469
